Coffee_Name,Acidity_Level,Flavor_Notes,Body,Origin,Roast_Type,Price
Sumatran Mandheling,Subtle,Fruity and floral,Full,Honduras,Medium Roast,$16.12
Rwandan Peaberry,Bright,Caramel and vanilla,Medium,Guatemala,Light Roast,$24.09
Colombian Supremo,Bright,Nutty and chocolate,Full,Guatemala,Dark Roast,$10.76
Brazil Santos,Bright,Caramel and vanilla,Light,Sumatra,Medium Roast,$16.39
Ethiopian Yirgacheffe,Bright,Caramel and vanilla,Medium,Honduras,Light Roast,$20.90
Honduran Marcala,Subtle,Fruity and floral,Full,Jamaica,Light Roast,$17.98
Honduran Marcala,Balanced,Nutty and chocolate,Medium,Costa Rica,Medium Roast,$12.19
Guatemalan Antigua,Subtle,Fruity and floral,Medium,Guatemala,Light Roast,$23.56
Costa Rican Tarrazu,Balanced,Caramel and vanilla,Full,Colombia,Light Roast,$20.31
Rwandan Peaberry,Bright,Fruity and floral,Medium,Costa Rica,Medium Roast,$14.22
Sumatran Mandheling,Balanced,Nutty and chocolate,Full,Jamaica,Light Roast,$16.28
Brazil Santos,Subtle,Caramel and vanilla,Medium,Jamaica,Medium Roast,$15.47
Costa Rican Tarrazu,Balanced,Nutty and chocolate,Full,Costa Rica,Medium Roast,$15.08
Costa Rican Tarrazu,Balanced,Caramel and vanilla,Light,Rwanda,Medium Roast,$14.12
Rwandan Peaberry,Balanced,Caramel and vanilla,Light,Brazil,Light Roast,$17.74
Jamaican Blue Mountain,Balanced,Caramel and vanilla,Medium,Colombia,Dark Roast,$16.55
Honduran Marcala,Balanced,Nutty and chocolate,Medium,Kenya,Medium Roast,$20.51
Kenyan AA,Subtle,Fruity and floral,Full,Ethiopia,Dark Roast,$12.26
Jamaican Blue Mountain,Subtle,Fruity and floral,Light,Honduras,Medium Roast,$19.64
Rwandan Peaberry,Bright,Fruity and floral,Medium,Sumatra,Light Roast,$23.08
Sumatran Mandheling,Balanced,Caramel and vanilla,Medium,Sumatra,Light Roast,$17.78
Colombian Supremo,Bright,Caramel and vanilla,Light,Colombia,Light Roast,$16.01
Guatemalan Antigua,Balanced,Nutty and chocolate,Full,Ethiopia,Light Roast,$18.39
Guatemalan Antigua,Bright,Nutty and chocolate,Medium,Honduras,Dark Roast,$12.40
Colombian Supremo,Subtle,Caramel and vanilla,Light,Brazil,Medium Roast,$15.30
Guatemalan Antigua,Subtle,Nutty and chocolate,Light,Ethiopia,Medium Roast,$18.94
Jamaican Blue Mountain,Bright,Caramel and vanilla,Full,Colombia,Medium Roast,$15.10
Guatemalan Antigua,Subtle,Nutty and chocolate,Light,Jamaica,Dark Roast,$11.30
Colombian Supremo,Balanced,Caramel and vanilla,Medium,Brazil,Medium Roast,$21.96
Guatemalan Antigua,Subtle,Nutty and chocolate,Light,Costa Rica,Dark Roast,$14.71
Sumatran Mandheling,Subtle,Caramel and vanilla,Full,Ethiopia,Dark Roast,$11.54
Rwandan Peaberry,Subtle,Fruity and floral,Light,Ethiopia,Dark Roast,$12.48
Honduran Marcala,Subtle,Caramel and vanilla,Medium,Jamaica,Light Roast,$21.76
Rwandan Peaberry,Balanced,Fruity and floral,Light,Guatemala,Medium Roast,$13.42
Rwandan Peaberry,Balanced,Nutty and chocolate,Light,Jamaica,Medium Roast,$18.00
Rwandan Peaberry,Bright,Nutty and chocolate,Light,Colombia,Dark Roast,$17.23
Brazil Santos,Bright,Fruity and floral,Medium,Ethiopia,Light Roast,$17.62
Honduran Marcala,Balanced,Caramel and vanilla,Full,Ethiopia,Medium Roast,$20.64
Jamaican Blue Mountain,Balanced,Fruity and floral,Full,Kenya,Light Roast,$18.15
Costa Rican Tarrazu,Subtle,Fruity and floral,Medium,Brazil,Light Roast,$23.97
Guatemalan Antigua,Bright,Nutty and chocolate,Light,Rwanda,Medium Roast,$21.04
Colombian Supremo,Subtle,Fruity and floral,Full,Jamaica,Light Roast,$23.19
Ethiopian Yirgacheffe,Subtle,Fruity and floral,Medium,Sumatra,Medium Roast,$16.48
Honduran Marcala,Subtle,Caramel and vanilla,Light,Sumatra,Light Roast,$15.37
